datetime,기준일자,기준시,전력사용량(MWh),기온(°C),강수량(mm),풍속(m/s),습도(%),일사(MJ/m2),전운량(10분위),미세먼지(PM10),초미세먼지(PM25),hour,dayofweek,month,is_weekend,is_holiday,is_off,CDD,HDD,lag_24,lag_168,rolling_24h,체감온도,불쾌지수,temp_3h_mean,temp_6h_max,rolling_3h_mean,rolling_6h_mean,rolling_6h_max,rolling_24h_mean,rolling_24h_std,ratio_to_daily_max
2023-01-08 01:00:00,2023-01-08,1,3758,-1.8,0.0,0.7,74.0,0.0,0.0,150.05128205128204,64.95,1,6,1,1,0,1,0.0,19.8,3906.0,3783.0,4545.541666666667,-1.8,32.94132,-2.066666666666667,-1.8,3544.3333333333335,3438.3333333333335,3758.0,4289.75,620.2386812664383,0.7443058031293326
2023-01-08 02:00:00,2023-01-08,2,3514,-2.0,0.0,1.7,74.0,0.0,8.0,145.3846153846154,61.475,2,6,1,1,0,1,0.0,20.0,3600.0,3567.0,4539.375,-4.3755284253822815,32.6328,-2.066666666666667,-1.8,3544.3333333333335,3438.3333333333335,3758.0,4289.75,620.2386812664383,0.6959794018617548
2023-01-08 03:00:00,2023-01-08,3,3361,-2.4,0.0,0.7,77.0,0.0,0.0,148.05128205128204,60.05,3,6,1,1,0,1,0.0,20.4,3424.0,3364.0,4535.791666666667,-2.4,31.51548,-2.066666666666667,-1.8,3544.3333333333335,3438.3333333333335,3758.0,4289.75,620.2386812664383,0.6656763715587245
2023-01-08 04:00:00,2023-01-08,4,3284,-2.8,0.0,1.5,76.0,0.0,0.0,145.87179487179486,59.325,4,6,1,1,0,1,0.0,20.8,3333.0,3264.0,4533.166666666667,-4.965938497659113,31.05728,-2.4,-1.8,3386.3333333333335,3438.3333333333335,3758.0,4289.75,620.2386812664383,0.6504258268964151
2023-01-08 05:00:00,2023-01-08,5,3290,-3.1,0.0,1.7,80.0,0.0,0.0,147.07692307692307,59.25,5,6,1,1,0,1,0.0,21.1,3339.0,3252.0,4531.125,-5.641973810791349,29.893799999999995,-2.766666666666667,-1.8,3311.6666666666665,3438.3333333333335,3758.0,4289.75,620.2386812664383,0.6516141810259457
2023-01-08 06:00:00,2023-01-08,6,3423,-3.2,0.0,1.7,86.0,0.0,2.0,141.56410256410257,59.175,6,6,1,1,0,1,0.0,21.2,3487.0,3376.0,4529.083333333333,-5.7571052094649,28.68552,-3.033333333333333,-1.8,3332.3333333333335,3438.3333333333335,3758.0,4289.75,620.2386812664383,0.6779560308972074
2023-01-08 07:00:00,2023-01-08,7,3634,-3.2,0.0,0.2,89.0,0.0,3.0,140.71794871794873,60.15,7,6,1,1,0,1,0.0,21.2,3744.0,3586.0,4526.416666666667,-3.2,28.16148,-3.1666666666666674,-2.0,3449.0,3417.6666666666665,3634.0,4289.75,620.2386812664383,0.7197464844523668
2023-01-08 08:00:00,2023-01-08,8,3892,-3.7,0.0,2.1,90.0,0.0,0.0,135.56410256410257,59.075,8,6,1,1,0,1,0.0,21.7,4053.0,3825.0,4521.833333333333,-6.922618125717708,27.136299999999995,-3.366666666666667,-2.4,3649.6666666666665,3480.6666666666665,3892.0,4289.75,620.2386812664383,0.7708457120221827
2023-01-08 09:00:00,2023-01-08,9,4249,-3.3,0.0,2.3,90.0,0.25,0.0,136.12820512820514,61.35,9,6,1,1,0,1,0.0,21.3,4534.0,4132.0,4515.125,-6.711738500873392,27.8167,-3.4000000000000004,-2.8,3925.0,3628.6666666666665,4249.0,4289.75,620.2386812664383,0.8415527827292533
2023-01-08 10:00:00,2023-01-08,10,4576,-1.0,0.0,2.2,84.0,0.77,0.0,135.76923076923077,67.025,10,6,1,1,0,1,0.0,19.0,5072.0,4398.0,4503.25,-3.886382383096989,32.6464,-2.6666666666666665,-1.0,4239.0,3844.0,4576.0,4289.75,620.2386812664383,0.906318082788671
2023-01-08 11:00:00,2023-01-08,11,4817,1.0,0.0,2.0,76.0,1.32,0.0,142.69230769230768,74.75,11,6,1,1,0,1,0.0,17.0,5420.0,4580.0,4482.583333333333,-1.3078716504750778,36.9944,-1.1,1.0,4547.333333333333,4098.5,4817.0,4289.75,620.2386812664383,0.9540503069914834
2023-01-08 12:00:00,2023-01-08,12,4846,2.8,0.0,1.1,67.0,1.64,0.0,145.87179487179486,74.8,12,6,1,1,0,1,0.0,15.2,5497.0,4585.0,4457.458333333333,2.8,40.84424,0.9333333333333331,2.8,4746.333333333333,4335.666666666667,4846.0,4289.75,620.2386812664383,0.959794018617548
2023-01-08 13:00:00,2023-01-08,13,4827,4.2,0.0,1.8,54.0,1.71,0.0,146.97435897435898,68.375,13,6,1,1,0,1,0.0,13.8,5430.0,4569.0,4430.333333333333,2.6434804053151333,44.22532,2.6666666666666665,4.2,4830.0,4534.5,4846.0,4289.75,620.2386812664383,0.9560308972073678
2023-01-08 14:00:00,2023-01-08,14,4776,4.9,0.0,1.1,52.0,1.62,0.0,133.56410256410257,57.325,14,6,1,1,0,1,0.0,13.1,5300.0,4540.0,4405.208333333333,4.9,45.35552,3.9666666666666663,4.9,4816.333333333333,4681.833333333333,4846.0,4289.75,620.2386812664383,0.9459298871063577
2023-01-08 15:00:00,2023-01-08,15,4717,5.9,0.0,0.9,47.0,1.25,0.0,127.1025641025641,52.1,15,6,1,1,0,1,0.0,12.1,5182.0,4510.0,4383.375,5.9,47.10327,5.0,5.9,4773.333333333333,4759.833333333333,4846.0,4289.75,620.2386812664383,0.9342444048326402
2023-01-08 16:00:00,2023-01-08,16,4705,5.7,0.0,1.1,49.0,0.65,8.0,120.3846153846154,48.475,16,6,1,1,0,1,0.0,12.3,5108.0,4516.0,4364.0,5.7,46.67507,5.5,5.9,4732.666666666667,4781.333333333333,4846.0,4289.75,620.2386812664383,0.9318676965735789
